,item,item form,category,shelf life,glass,paper,plastic,aluminium,bio,weekly usage,weekly total,monthly total glass,yearly total glass,monthly total paper,yearly total paper,monthly total plastic,yearly total plastic,monthly total aluminium,yearly total aluminium,monthly total bio,yearly total bio,monthly total,yearly total,env impact
33,Gum ,Solid,Food ,Long,0,0,20,0,0,0.25,20,0.0,0.0,0.0,0.0,20.0,260.0,0.0,0.0,0.0,0.0,20.0,260.0,1.0
34,Cream ,Liquid,Food ,Medium,0,0,17,0,0,0.5,17,0.0,0.0,0.0,0.0,34.0,442.0,0.0,0.0,0.0,0.0,34.0,442.0,1.0
35,Strrowberry Yougurt ,Liquid,Food ,Medium,0,0,8,0,0,15.0,8,0.0,0.0,0.0,0.0,480.0,6240.0,0.0,0.0,0.0,0.0,480.0,6240.0,1.0
36,Green Hurbs for Salad ,Solid,Food ,Short,0,0,0,0,12,1.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,624.0,48.0,624.0,0.0
37,Avocado ,Solid,Food ,Short,0,0,0,0,76,1.0,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.0,3952.0,304.0,3952.0,0.0
38,Bleach ,Liquid,Cleaning Products ,Long,0,0,53,0,0,0.04,53,0.0,0.0,0.0,0.0,8.48,110.24,0.0,0.0,0.0,0.0,8.48,110.24,1.0
39,Apple ,Solid,Food,Short,0,0,17,0,20,1.0,37,0.0,0.0,0.0,0.0,68.0,884.0,0.0,0.0,80.0,1040.0,148.0,1924.0,0.45945945945945943
40,Red beans ,Solid,Food ,Long,0,0,46,0,0,1.0,46,0.0,0.0,0.0,0.0,184.0,2392.0,0.0,0.0,0.0,0.0,184.0,2392.0,1.0
41,Cheerry Tomato,Solid,Food ,Short,0,13,8,0,3,2.0,24,0.0,0.0,104.0,1352.0,64.0,832.0,0.0,0.0,24.0,312.0,192.0,2496.0,0.875
42,Plastic Freezer ,Solid,Packing Product ,Long,0,24,83,0,0,0.12,107,0.0,0.0,11.52,149.76,39.84,517.92,0.0,0.0,0.0,0.0,51.36,667.68,1.0
43,Pear ,Solid,Food ,Short,0,0,21,0,20,1.0,41,0.0,0.0,0.0,0.0,84.0,1092.0,0.0,0.0,80.0,1040.0,164.0,2132.0,0.5121951219512195
44,Tomato ,Solid,Food ,Short,0,0,21,0,0,2.0,21,0.0,0.0,0.0,0.0,168.0,2184.0,0.0,0.0,0.0,0.0,168.0,2184.0,1.0
45,Garlic ,Solid,Food,Medium,0,0,2,0,40,0.5,42,0.0,0.0,0.0,0.0,4.0,52.0,0.0,0.0,80.0,1040.0,84.0,1092.0,0.04761904761904767
